Starting City,Destination City,Distance (km)
Akasahebpet,Visakhapatnam,70.14476797780907
Akasahebpet,Vizianagaram,112.4659082408639
Akasahebpet,Vizianagaram District,132.34419317946828
Akasahebpet,Vuyyuru,222.841987747124
Akasahebpet,West Godavari,158.83215209972713
Akasahebpet,Yanam,93.5984201107914
Akasahebpet,Yanamalakuduru,231.51863296691914
Akasahebpet,Yarada,77.0042228452601
Akividu,Akkarampalle,388.0935598692752
Akividu,Amalapuram,66.60510465363855
Akividu,Amudalavalasa,335.9055935114536
Akividu,Anakapalle,211.997655017232
Akividu,Anantapur,481.0102591122163
Akividu,Atmakur,308.319154507544
Akividu,Attili,26.743352717435126
Akividu,Avanigadda,79.56256369188195
Akividu,Badvel,321.44810257620793
Akividu,Banganapalle,365.3807288412673
Akividu,Bapatla,123.28222143842214
Akividu,Betamcherla,367.71034750347707
Akividu,Bhattiprolu,83.35757336752043
Akividu,Bhimavaram,15.831723863104983
Akividu,Bhimunipatnam,263.6637546058378
Akividu,Bobbili,304.9524784024519
Akividu,Challapalle,70.51590085844664
Akividu,Chemmumiahpet,232.69369224029958
Akividu,Chilakalurupet,140.6419926245136
Akividu,Chinnachowk,359.54173438566926
Akividu,Chipurupalle,301.33461205465244
Akividu,Chirala,138.49963628153472
Akividu,Chittoor,435.0716489382958
Akividu,Chodavaram,215.55404687994547
Akividu,Cuddapah,370.7502925756573
Akividu,Cumbum,266.8815082443837
Akividu,Darsi,202.94722528125888
Akividu,Dharmavaram,460.37969581442246
Akividu,Dhone,397.68625774093175
Akividu,Diguvametta,303.02977002121105
Akividu,East Godavari,147.17219196504186
Akividu,Elamanchili,190.2252175780231
Akividu,Ellore,32.878508710544644
Akividu,Emmiganur,425.8685784424184
Akividu,Erraguntla,373.22221322820184
Akividu,Etikoppaka,176.29392983951286
Akividu,Gajuwaka,231.2693020173902
Akividu,Ganguvada,371.14676261428855
Akividu,Gannavaram,61.88071112183011
Akividu,Giddalur,294.8042391029499
Akividu,Gokavaram,90.20119038597817
Akividu,Gorantla,482.9832240216258
Akividu,"Govindapuram,Chilakaluripet,Guntur",144.42812126852135
Akividu,Gudivada,44.22763021851885
Akividu,Gudlavalleru,43.74520297894691
Akividu,Gudur,316.1660768785593
Akividu,Guntakal Junction,457.5375958022715
Akividu,Guntur,103.41152549666765
Akividu,Hindupur,517.6330628693378
Akividu,Ichchapuram,449.07460000487424
Akividu,Jaggayyapeta,140.94721558504284
Akividu,Jammalamadugu,374.44017411774246
Akividu,Kadiri,441.3138568042316
Akividu,Kaikalur,18.135859170439893
Akividu,Kakinada,100.45850037229638
Akividu,Kalyandurg,510.910902623666
Akividu,Kamalapuram,364.69579542631055
Akividu,Kandukur,219.21251777873434
Akividu,Kanigiri,239.2716949304078
Akividu,Kankipadu,67.46464800369505
Akividu,Kanuru,35.61287942016821
Akividu,Kavali,237.35143821396835
Akividu,Kolanukonda,83.38686796304374
Akividu,Kondapalle,89.46763778127696
Akividu,Korukollu,16.702928965913113
Akividu,Kosigi,448.980950807811
Akividu,Kovvur,60.84712219186594
Akividu,Krishna,41.67807043710436
Akividu,Kuppam,537.109968872651
Akividu,Kurnool,344.0502351088133
Akividu,Macherla,207.75382589948782
Akividu,Machilipatnam,50.93914635139512
Akividu,Madanapalle,457.32001424506427
Akividu,Madugula,212.60487168601762
Akividu,Mandapeta,66.16738326081624
Akividu,Mandasa,413.69464792491135
Akividu,Mangalagiri,88.29275806482426
Akividu,Markapur,244.4946288125082
Akividu,Nagari,410.6931843041408
Akividu,Nagireddipalli,354.69623790554346
Akividu,Nandigama,118.5406838838929
Akividu,Nandikotkur,342.2708630616621
Akividu,Nandyal,333.10964921383373
Akividu,Narasannapeta,348.2448698544416
Akividu,Narasapur,37.62129517833111
Akividu,Narasaraopet,147.22019625481374
Akividu,Narasingapuram,398.14895014123795
Akividu,Narayanavanam,400.3057774856361
Akividu,Narsipatnam,177.96533565838516
Akividu,Nayudupet,337.47382216294375
Akividu,Nellore,338.18730030544475
Akividu,Nidadavole,47.48146953524138
Akividu,Nuzvid,61.44678657496733
Akividu,Ongole,186.51248869934133
Akividu,Pakala,424.9693288425111
Akividu,Palakollu,37.89421404266017
Akividu,Palasa,402.8395612066385
Akividu,Palkonda,337.4372701622602
Akividu,Pallevada,9.230064575115211
Akividu,Palmaner,470.6631866928948
Akividu,Parlakimidi,376.86583891621143
Akividu,Parvatipuram,326.86916762686997
Akividu,Pavuluru,153.1183587147727
Akividu,Pedana,44.25307066134973
Akividu,pedda nakkalapalem,152.54492160308212
Akividu,Peddapuram,97.58128257571106
Akividu,Penugonda,39.62791751929857
Akividu,Penukonda,492.0091467045871
Akividu,Phirangipuram,123.64288511438367
Akividu,Pippara,23.390057594543993
Akividu,Pithapuram,110.17766097989521
Akividu,Polavaram,79.07602026525159
Akividu,Ponnur,105.38662614605386
Akividu,Ponnuru,105.49714172654242
Akividu,Prakasam,234.2900292805347
Akividu,Proddatur,365.358163615407
Akividu,Pulivendla,414.8215772537107
Akividu,Punganuru,467.8416577259417
Akividu,Puttaparthi,467.6136763494895
Akividu,Puttur,400.5829344103567
Akividu,Rajahmundry,63.20615125538378
Akividu,Ramachandrapuram,74.53178714721102
Akividu,Ramanayyapeta,99.80621677923918
Akividu,Ramapuram,402.34027540458135
Akividu,Rampachodavaram,104.28177609526416
Akividu,Rayachoti,397.9967682751099
Akividu,Rayadrug,528.1413338745799
Akividu,Razam,318.5223524504913
Akividu,Razampeta,356.626698189841
Akividu,Razole,50.2297359262444
Akividu,Renigunta,382.660468645945
Akividu,Repalle,85.99880235324837
Akividu,Salur,289.3024822207122
Akividu,Samalkot,99.74411769274246
Akividu,Sattenapalle,132.69398412777602
Akividu,Singarayakonda,208.64361949258043
Akividu,Sompeta,428.9772983230317
Akividu,Srikakulam,328.1595856705832
Akividu,Srisailain,274.0894396066256
Akividu,Suluru,352.36025942185165
Akividu,Tadepalle,83.98897684908255
Akividu,Tadepallegudem,30.164079212434356
Akividu,Tadpatri,405.9233429620746
Akividu,Tanuku,37.27849619078275
Akividu,Tekkali,377.0159915226867
Akividu,Tirumala,389.13467467204424
Akividu,Tirupati,389.45829943651444
Akividu,Tuni,151.03201835531254
Akividu,Uravakonda,477.65524879867496
Akividu,vadlamuru,101.13283417331901
Akividu,Vadlapudi,303.85557223667803
Akividu,Venkatagiri,349.74620267722486
Akividu,Vepagunta,235.95783168198045
Akividu,Vetapalem,144.99721046399125
Akividu,Vijayawada,78.73382437914603
Akividu,Vinukonda,184.78844177694867
Akividu,Visakhapatnam,228.74117506320354
Akividu,Vizianagaram,274.87134360805686
Akividu,Vizianagaram District,293.4913399562012
Akividu,Vuyyuru,62.23750546975239
Akividu,West Godavari,51.758304722138064
Akividu,Yanam,90.25897309768114
Akividu,Yanamalakuduru,76.83402421630133
Akividu,Yarada,234.08538582999503
Akkarampalle,Amalapuram,427.899745891798
Akkarampalle,Amudalavalasa,713.8185131712227
Akkarampalle,Anakapalle,590.8377188817345
Akkarampalle,Anantapur,238.09821663374916
Akkarampalle,Atmakur,263.7551475640654
Akkarampalle,Attili,411.99094471667564
Akkarampalle,Avanigadda,308.96698415092726
Akkarampalle,Badvel,127.70980256256497
Akkarampalle,Banganapalle,225.59293021011752
Akkarampalle,Bapatla,274.7906022201207
Akkarampalle,Betamcherla,242.62316062234547
Akkarampalle,Bhattiprolu,309.44354323442593
Akkarampalle,Bhimavaram,392.8035767364005
